New Name,Old Name,Path,Dataset
CADICA_000000.jpg,p4_v6_00001.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000001.jpg,p4_v6_00002.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000002.jpg,p4_v6_00003.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000003.jpg,p4_v6_00004.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000004.jpg,p4_v6_00005.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000005.jpg,p4_v6_00006.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000006.jpg,p4_v6_00007.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000007.jpg,p4_v6_00008.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000008.jpg,p4_v6_00009.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000009.jpg,p4_v6_00010.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000010.jpg,p4_v6_00011.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000011.jpg,p4_v6_00012.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000012.jpg,p4_v6_00013.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000013.jpg,p4_v6_00014.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000014.jpg,p4_v6_00015.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000015.jpg,p4_v6_00016.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000016.jpg,p4_v6_00017.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000017.jpg,p4_v6_00018.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000018.jpg,p4_v6_00019.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000019.jpg,p4_v6_00020.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000020.jpg,p4_v6_00021.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000021.jpg,p4_v6_00022.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000022.jpg,p4_v6_00023.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000023.jpg,p4_v6_00024.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000024.jpg,p4_v6_00025.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000025.jpg,p4_v6_00026.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000026.jpg,p4_v6_00027.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000027.jpg,p4_v6_00028.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000028.jpg,p4_v6_00029.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000029.jpg,p4_v6_00030.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000030.jpg,p4_v6_00031.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000031.jpg,p4_v6_00032.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000032.jpg,p4_v6_00033.png,/selectedVideos/p4/v6/input,CADICA
CADICA_000033.jpg,p4_v1_00001.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000034.jpg,p4_v1_00002.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000035.jpg,p4_v1_00003.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000036.jpg,p4_v1_00004.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000037.jpg,p4_v1_00005.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000038.jpg,p4_v1_00006.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000039.jpg,p4_v1_00007.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000040.jpg,p4_v1_00008.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000041.jpg,p4_v1_00009.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000042.jpg,p4_v1_00010.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000043.jpg,p4_v1_00011.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000044.jpg,p4_v1_00012.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000045.jpg,p4_v1_00013.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000046.jpg,p4_v1_00014.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000047.jpg,p4_v1_00015.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000048.jpg,p4_v1_00016.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000049.jpg,p4_v1_00017.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000050.jpg,p4_v1_00018.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000051.jpg,p4_v1_00019.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000052.jpg,p4_v1_00020.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000053.jpg,p4_v1_00021.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000054.jpg,p4_v1_00022.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000055.jpg,p4_v1_00023.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000056.jpg,p4_v1_00024.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000057.jpg,p4_v1_00025.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000058.jpg,p4_v1_00026.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000059.jpg,p4_v1_00027.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000060.jpg,p4_v1_00028.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000061.jpg,p4_v1_00029.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000062.jpg,p4_v1_00030.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000063.jpg,p4_v1_00031.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000064.jpg,p4_v1_00032.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000065.jpg,p4_v1_00033.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000066.jpg,p4_v1_00034.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000067.jpg,p4_v1_00035.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000068.jpg,p4_v1_00036.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000069.jpg,p4_v1_00037.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000070.jpg,p4_v1_00038.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000071.jpg,p4_v1_00039.png,/selectedVideos/p4/v1/input,CADICA
CADICA_000072.jpg,p4_v1_00040.png,/selectedVideos/p4/v1/input,CADICA
